event_id,image_id,iou,dice,auprc,auroc,true_burn_fraction,pred_burn_fraction,image_id_linear,iou_linear,dice_linear,auprc_linear,auroc_linear,true_burn_fraction_linear,pred_burn_fraction_linear,image_id_mlp,iou_mlp,dice_mlp,auprc_mlp,auroc_mlp,true_burn_fraction_mlp,pred_burn_fraction_mlp,image_id_decoder,iou_decoder,dice_decoder,auprc_decoder,auroc_decoder,true_burn_fraction_decoder,pred_burn_fraction_decoder,image_id_spectral,iou_spectral,dice_spectral,auprc_spectral,auroc_spectral,true_burn_fraction_spectral,pred_burn_fraction_spectral
TX3097610133020180413,subsetted_512x512_HLS.S30.T14RKV.2018143.v1.4,0.2343895364745799,0.379765915942543,0.5622596268667638,0.8568356131395812,0.068142717087369,0.0179025791463372,subsetted_512x512_HLS.S30.T14RKV.2018143.v1.4,0.0693129329124964,0.1296401283087603,0.1030035622450537,0.6258955709396868,0.068142717087369,0.9748188951747342,subsetted_512x512_HLS.S30.T14RKV.2018143.v1.4,0.1273809244898437,0.2259767248545303,0.1916543840929776,0.6537911572503872,0.068142717087369,0.1154226160730294,subsetted_512x512_HLS.S30.T14RKV.2018143.v1.4,0.0681434969367279,0.127592401455709,0.0681518164406766,0.5000122810895782,0.068142717087369,0.9999885557772344,subsetted_512x512_HLS.S30.T14RKV.2018143.v1.4,0.0,0.0,0.0445951942511339,0.2616133094288956,0.068142717087369,0.000175478082406
TX3111910137620200901,subsetted_512x512_HLS.S30.T14RKV.2020278.v1.4,0.5801540390471073,0.7343006121060984,0.8005200629491038,0.9781943395531254,0.0176849365234375,0.0159683227539062,subsetted_512x512_HLS.S30.T14RKV.2020278.v1.4,0.0180119276570118,0.0353864766564512,0.0234001693781891,0.5896952045907102,0.0176849365234375,0.9818458557128906,subsetted_512x512_HLS.S30.T14RKV.2020278.v1.4,0.036261856631939,0.069985894781069,0.1405367058431614,0.6955555297389892,0.0176849365234375,0.2365341186523437,subsetted_512x512_HLS.S30.T14RKV.2020278.v1.4,0.0182340216322517,0.0358149919269485,0.0195839053754356,0.5186712645820712,0.0176849365234375,0.9698867797851562,subsetted_512x512_HLS.S30.T14RKV.2020278.v1.4,0.6706008583690987,0.8028259473346179,0.9131564244793442,0.9838760791475548,0.0176849365234375,0.0120124816894531
TX3112609904920200802,subsetted_512x512_HLS.S30.T14RMV.2020280.v1.4,0.561977152109382,0.7195715396354632,0.9104156751609462,0.9636016180390952,0.1668205261230468,0.0981407165527343,subsetted_512x512_HLS.S30.T14RMV.2020280.v1.4,0.1725514599513484,0.2943179311865902,0.2288746636309631,0.5994694427758365,0.1668205261230468,0.9401130676269532,subsetted_512x512_HLS.S30.T14RMV.2020280.v1.4,0.2355032923374983,0.3812264909338124,0.3712002130826946,0.6918033897481546,0.1668205261230468,0.2175445556640625,subsetted_512x512_HLS.S30.T14RMV.2020280.v1.4,0.1691158840772509,0.2893055964434682,0.1538510581827019,0.4852885682298086,0.1668205261230468,0.9864273071289062,subsetted_512x512_HLS.S30.T14RMV.2020280.v1.4,0.5566210977351561,0.7151658146546074,0.9453592978079588,0.9871296018687457,0.1668205261230468,0.0951004028320312
TX3146709888420200712,subsetted_512x512_HLS.S30.T14RNV.2020220.v1.4,0.5844850378560269,0.737760248776973,0.838739411894906,0.9481869630977996,0.0622215270996093,0.0383682250976562,subsetted_512x512_HLS.S30.T14RNV.2020220.v1.4,0.0645658008281016,0.1212997839642741,0.0991928845274027,0.6338348259502402,0.0622215270996093,0.9636917114257812,subsetted_512x512_HLS.S30.T14RNV.2020220.v1.4,0.1935708409795608,0.3243558477361891,0.3670144517970925,0.7963695394983366,0.0622215270996093,0.0816841125488281,subsetted_512x512_HLS.S30.T14RNV.2020220.v1.4,0.0904688037397609,0.1659264408656136,0.2056083168317648,0.634938019822251,0.0622215270996093,0.5304222106933594,subsetted_512x512_HLS.S30.T14RNV.2020220.v1.4,0.7752972037729531,0.8734280684104627,0.9534892887478968,0.9962378954110256,0.0622215270996093,0.0591163635253906
TX3149009984920200712,subsetted_512x512_HLS.S30.T14RMV.2020220.v1.4,0.1325813609467455,0.2341224489795918,0.4732876995805983,0.9016403988560122,0.0202178955078125,0.0031471252441406,subsetted_512x512_HLS.S30.T14RMV.2020220.v1.4,0.0203462458752326,0.0398810618600944,0.0245796942963658,0.5212749858000583,0.0202178955078125,0.9753265380859376,subsetted_512x512_HLS.S30.T14RMV.2020220.v1.4,0.0507341694707861,0.0965689913678908,0.1049622267608998,0.741987837195355,0.0202178955078125,0.2418403625488281,subsetted_512x512_HLS.S30.T14RMV.2020220.v1.4,0.0210545551331402,0.0412408034953526,0.0226155526729023,0.5222859011695815,0.0202178955078125,0.9602622985839844,subsetted_512x512_HLS.S30.T14RMV.2020220.v1.4,0.1315094339622641,0.2324495581123895,0.5899171339092067,0.7743114475477809,0.0202178955078125,0.0026588439941406
TX3157209838720180723,subsetted_512x512_HLS.S30.T14RNV.2018215.v1.4,0.7773308432696452,0.8747171031361138,0.8771226416259111,0.9601429599762874,0.0251564169082862,0.0220433389287349,subsetted_512x512_HLS.S30.T14RNV.2018215.v1.4,0.0269971187225653,0.0525748675052678,0.038675802430502,0.6318764607046974,0.0251564169082862,0.9308026857927668,subsetted_512x512_HLS.S30.T14RNV.2018215.v1.4,0.0681480322353493,0.1276003515968356,0.0631251528809908,0.6351003841182461,0.0251564169082862,0.0790096139172897,subsetted_512x512_HLS.S30.T14RNV.2018215.v1.4,0.0253833095308668,0.0495098940950779,0.0220414754340114,0.4635783353281955,0.0251564169082862,0.9910613459484204,subsetted_512x512_HLS.S30.T14RNV.2018215.v1.4,0.8411537399944797,0.9137246083501986,0.9701856053244156,0.9988259559231708,0.0251564169082862,0.0257401190294521
TX3159210116820200704,subsetted_512x512_HLS.S30.T14SKA.2020223.v1.4,0.2790941937652298,0.4363934964690425,0.8656096761649108,0.9604187115531004,0.0900497436523437,0.0260887145996093,subsetted_512x512_HLS.S30.T14SKA.2020223.v1.4,0.094880252276151,0.1733162180592883,0.1562066867013761,0.6244287089119229,0.0900497436523437,0.8609161376953125,subsetted_512x512_HLS.S30.T14SKA.2020223.v1.4,0.165305607563505,0.2837120262540167,0.3178566400178243,0.7361269344748229,0.0900497436523437,0.244720458984375,subsetted_512x512_HLS.S30.T14SKA.2020223.v1.4,0.0935037856129616,0.1710168484886374,0.2417091091185688,0.5838329613968918,0.0900497436523437,0.8862380981445312,subsetted_512x512_HLS.S30.T14SKA.2020223.v1.4,0.1837436564190747,0.3104450113378685,0.510255416268267,0.7190115129988658,0.0900497436523437,0.0176162719726562
TX3165409878420180723,subsetted_512x512_HLS.S30.T14SNA.2018215.v1.4,0.4074401148029584,0.5789803921568627,0.5405539069692216,0.9389468080745316,0.0282821655273437,0.020355224609375,subsetted_512x512_HLS.S30.T14SNA.2018215.v1.4,0.0271753407863627,0.0529127593066212,0.0321084508998292,0.5446877182440357,0.0282821655273437,0.2401962280273437,subsetted_512x512_HLS.S30.T14SNA.2018215.v1.4,0.091185757761934,0.1671315027955637,0.1782436778087101,0.8869705728713364,0.0282821655273437,0.2630500793457031,subsetted_512x512_HLS.S30.T14SNA.2018215.v1.4,0.285752401280683,0.4444905582070969,0.5314162779917853,0.9329002340725612,0.0282821655273437,0.0636329650878906,subsetted_512x512_HLS.S30.T14SNA.2018215.v1.4,0.5242279688676876,0.6878603195519684,0.8109936470543255,0.986279368557838,0.0282821655273437,0.018035888671875
TX3166310307120200827,subsetted_512x512_HLS.S30.T13SFR.2020251.v1.4,0.8725168422870963,0.931918819188192,0.9624447654726136,0.9877883370411424,0.0219802856445312,0.0193710327148437,subsetted_512x512_HLS.S30.T13SFR.2020251.v1.4,0.0215526474158243,0.0421958622893202,0.0280019912366389,0.5263454596997179,0.0219802856445312,0.3600692749023437,subsetted_512x512_HLS.S30.T13SFR.2020251.v1.4,0.0423540751367345,0.0812661957141167,0.1408757805228336,0.7185551263316727,0.0219802856445312,0.3327980041503906,subsetted_512x512_HLS.S30.T13SFR.2020251.v1.4,0.3750773036487322,0.5455363166179447,0.6426760416697722,0.9556395261581846,0.0219802856445312,0.0289115905761718,subsetted_512x512_HLS.S30.T13SFR.2020251.v1.4,0.6665524918650454,0.7999177885109444,0.9707317141911906,0.9993284149621724,0.0219802856445312,0.0151405334472656
TX3185709976920200614,subsetted_512x512_HLS.S30.T14SMA.2020185.v1.4,0.3258997571207772,0.4915903413821815,0.6576339382136227,0.93242219357614,0.0171242413491872,0.0057831031154751,subsetted_512x512_HLS.S30.T14SMA.2020185.v1.4,0.0176855404440904,0.0347563952542215,0.0290293720409231,0.6078984868112789,0.0171242413491872,0.9673842139595564,subsetted_512x512_HLS.S30.T14SMA.2020185.v1.4,0.038788122393609,0.0746795646916566,0.0436614315062912,0.7515695099246893,0.0171242413491872,0.2983524259659804,subsetted_512x512_HLS.S30.T14SMA.2020185.v1.4,0.0173691317755671,0.0341451912252411,0.0169755043774786,0.544856446475992,0.0171242413491872,0.985900825122166,subsetted_512x512_HLS.S30.T14SMA.2020185.v1.4,0.041829215431296,0.0802995631370917,0.6014934435398933,0.9866474512212904,0.0171242413491872,0.0012130783579954
